,date,close,pre_close,signal,pos,start_time,stock_num,cash,stock_value,net_value,equity_change,equity_curve,equity_curve_base
0,2016-09-12,1324.6,,0.0,0.0,,,,,,0.0,1.0,
1,2016-09-13,1323.65,1324.6,0.0,0.0,,,,,,0.0,1.0,0.9992828023554282
2,2016-09-14,1321.75,1323.65,0.0,0.0,,,,,,0.0,1.0,0.9978484070662843
3,2016-09-15,1310.8,1321.75,0.0,0.0,,,,,,0.0,1.0,0.9895817605314813
4,2016-09-16,1308.35,1310.8,0.0,0.0,,,,,,0.0,1.0,0.9877321455533747
5,2016-09-19,1314.85,1308.35,0.0,0.0,,,,,,0.0,1.0,0.9926392873320249
6,2016-09-20,1313.8,1314.85,0.0,0.0,,,,,,0.0,1.0,0.9918465951985507
7,2016-09-21,1326.1,1313.8,0.0,0.0,,,,,,0.0,1.0,1.0011324173335348
8,2016-09-22,1339.1,1326.1,1.0,0.0,,,,,,0.0,1.0,1.010946700890835
9,2016-09-23,1338.65,1339.1,1.0,1.0,2016-09-23,0.7466955417817938,1.0000000088439265e-05,999.5639870061983,999.5639970061984,-0.000436002993801643,0.9995639970061984,1.0106069756907747
10,2016-09-26,1340.5,1338.65,1.0,1.0,2016-09-23,,1.0000000088439265e-05,1000.9453737584945,1000.9453837584946,0.0013819893037700925,1.0009453837584945,1.0120036237354673
11,2016-09-27,1327.0,1340.5,1.0,1.0,2016-09-23,,1.0000000088439265e-05,990.8649839444404,990.8649939444405,-0.010070868978088288,0.9908649939444404,1.0018118677336554
12,2016-09-28,1322.5,1327.0,1.0,1.0,2016-09-23,,1.0000000088439265e-05,987.5048540064223,987.5048640064224,-0.0033911077276451707,0.9875048640064223,0.9984146157330513
13,2016-09-29,1318.1,1322.5,1.0,1.0,2016-09-23,,1.0000000088439265e-05,984.2193936225823,984.2194036225824,-0.0033270321024146954,0.9842194036225823,0.9950928582213496
14,2016-09-30,1322.5,1318.1,1.0,1.0,2016-09-23,,1.0000000088439265e-05,987.5048540064223,987.5048640064224,0.003338138195353002,0.9875048640064225,0.9984146157330513
15,2016-10-03,1313.3,1322.5,1.0,1.0,2016-09-23,,1.0000000088439265e-05,980.6352550220297,980.6352650220298,-0.006956521668685101,0.9806352650220298,0.9914691227540389
16,2016-10-04,1283.3,1313.3,0.0,1.0,2016-09-23,0.7466955417817938,958.138575329699,0.0,958.138575329699,-0.022940934815173453,0.958138575329699,0.9688207760833458
17,2016-10-05,1269.4,1283.3,0.0,0.0,,,,,,0.0,0.958138575329699,0.9583270421259248
18,2016-10-06,1254.5,1269.4,0.0,0.0,,,,,,0.0,0.958138575329699,0.9470783632794805
